Spike_Number,Time_seconds,Voltage_Drop_mV,Peak_Voltage_mV,Inter_Spike_Interval_s,Spike_Category
133,165995,-0.16000000000000003,-0.234,7.0,Small
134,165997,-0.183,-0.252,2.0,Medium
135,166011,-0.194,-0.254,14.0,Medium
136,166017,-0.198,-0.234,6.0,Medium
137,166020,-0.18,-0.222,3.0,Medium
138,166036,-0.17099999999999999,-0.241,16.0,Small
139,166038,-0.186,-0.237,2.0,Medium
140,166058,-0.175,-0.212,20.0,Small
141,166080,-0.16999999999999998,-0.25,22.0,Small
142,166082,-0.19999999999999998,-0.241,2.0,Medium
143,166085,-0.15300000000000002,-0.227,3.0,Small
144,166088,-0.168,-0.222,3.0,Small
145,166091,-0.194,-0.24,3.0,Medium
146,166101,-0.156,-0.175,10.0,Small
147,166107,-0.185,-0.252,6.0,Medium
148,166114,-0.211,-0.25,7.0,Large
149,166123,-0.192,-0.258,9.0,Medium
150,166126,-0.18199999999999997,-0.282,3.0,Medium
151,166138,-0.176,-0.21,12.0,Small
152,166145,-0.193,-0.228,7.0,Medium
153,166156,-0.179,-0.214,11.0,Small
154,166164,-0.173,-0.216,8.0,Small
155,166185,-0.188,-0.2,21.0,Medium
156,166194,-0.22,-0.248,9.0,Large
157,166197,-0.178,-0.224,3.0,Small
158,166202,-0.168,-0.256,5.0,Small
159,166208,-0.162,-0.257,6.0,Small
160,166212,-0.19,-0.259,4.0,Medium
161,166217,-0.205,-0.247,5.0,Medium
162,166226,-0.19999999999999998,-0.242,9.0,Medium
163,166250,-0.198,-0.222,24.0,Medium
164,166263,-0.188,-0.203,13.0,Medium
165,166273,-0.18,-0.23,10.0,Medium
166,166275,-0.19599999999999998,-0.236,2.0,Medium
167,166277,-0.197,-0.242,2.0,Medium
168,166282,-0.15200000000000002,-0.229,5.0,Small
169,166284,-0.185,-0.23,2.0,Medium
170,166295,-0.181,-0.189,11.0,Medium
171,166302,-0.17099999999999999,-0.255,7.0,Small
172,166311,-0.17300000000000001,-0.224,9.0,Small
173,166313,-0.151,-0.213,2.0,Small
174,166315,-0.184,-0.252,2.0,Medium
175,166317,-0.185,-0.247,2.0,Medium
176,166328,-0.19,-0.23,11.0,Medium
177,166350,-0.165,-0.259,22.0,Small
178,166352,-0.15000000000000002,-0.193,2.0,Small
179,166364,-0.198,-0.257,12.0,Medium
180,166401,-0.205,-0.24,37.0,Medium
181,166405,-0.209,-0.246,4.0,Medium
182,166431,-0.15000000000000002,-0.27,26.0,Small
