Time,Channel_1,Channel_3,Channel_5,Channel_7,Channel_9
164910,-0.064,0.013,0.012,-0.125,0.088
164911,-0.057,0.023,0.005,-0.216,0.085
164912,-0.03,0.024,0.011,-0.033,0.022
164913,-0.022,0.022,0.006,-0.212,0.1
164914,-0.026,0.02,0.006,-0.214,0.076
164915,-0.026,0.018,0.013,-0.06,0.039
164916,-0.021,0.02,0.005,-0.212,0.087
164917,-0.022,0.029,0.012,-0.08,0.046
164918,-0.018,0.034,0.011,-0.171,0.112
164919,-0.011,0.032,0.004,-0.212,0.078
164920,-0.012,0.027,0.004,-0.106,0.009
164921,-0.007,0.028,0.011,-0.1,0.057
164922,-0.006,0.019,0.006,-0.139,0.046
164923,-0.004,0.034,0.009,-0.035,0.001
164924,-0.008,0.048,0.012,-0.12,0.079
164925,-0.011,0.05,0.008,-0.251,0.126
164926,-0.015,0.047,0.008,-0.191,0.115
164927,-0.015,0.048,0.008,-0.059,0.011
164928,-0.013,0.054,0.009,-0.197,0.107
164929,-0.016,0.056,0.007,-0.087,0.013
164930,-0.016,0.054,0.008,-0.145,0.1
164931,-0.018,0.046,0.009,-0.065,0.031
164932,-0.022,0.033,0.005,-0.174,0.034
164933,-0.02,0.025,0.008,-0.189,0.091
164934,-0.028,0.021,0.004,-0.186,0.041
164935,-0.038,0.024,0.012,-0.043,0.027
164936,-0.033,0.025,0.008,-0.246,0.137
164937,-0.021,0.024,0.006,-0.108,0.02
164938,-0.016,0.029,0.013,-0.033,0.024
164939,-0.02,0.032,0.014,-0.045,0.029
164940,-0.025,0.044,0.011,-0.04,0.029
164941,-0.028,0.059,0.007,-0.216,0.107
164942,-0.014,0.05,0.003,-0.195,0.055
164943,0.004,0.042,0.003,-0.137,0.006
164944,0.006,0.032,0.003,-0.106,0.06
164945,0.011,0.025,0.012,-0.032,0.018
164946,0.002,0.018,0.009,-0.227,0.133
164947,0.0,0.014,0.004,-0.181,0.054
164948,0.007,0.013,0.013,-0.048,0.032
164949,-0.0,0.01,0.012,-0.081,0.066
164950,-0.0,-0.004,0.011,-0.161,0.11
164951,-0.006,-0.009,0.007,-0.268,0.134
164952,-0.019,-0.01,0.006,-0.115,0.02
164953,-0.032,-0.015,0.008,-0.028,-0.002
164954,-0.031,-0.01,0.012,-0.119,0.072
164955,-0.019,-0.002,0.003,-0.238,0.093
164956,-0.017,-0.003,0.009,-0.037,0.004
164957,-0.016,0.007,0.008,-0.226,0.126
164958,-0.017,0.007,0.006,-0.083,0.011
164959,-0.019,-0.004,0.011,-0.152,0.089
164960,-0.022,-0.003,0.006,-0.235,0.126
164961,-0.026,-0.002,0.006,-0.253,0.12
164962,-0.029,0.0,0.009,-0.045,0.013
164963,-0.032,0.021,0.011,-0.071,0.05
164964,-0.03,0.03,0.004,-0.234,0.097
164965,-0.033,0.027,0.009,-0.037,-0.002
164966,-0.04,0.015,0.011,-0.042,0.033
164967,-0.042,0.006,0.005,-0.225,0.089
164968,-0.044,0.017,0.01,-0.029,0.01
164969,-0.043,0.022,0.014,-0.065,0.042
164970,-0.043,0.019,0.012,-0.042,0.043
164971,-0.048,0.013,0.008,-0.237,0.134
164972,-0.056,0.016,0.006,-0.096,0.022
164973,-0.051,0.03,0.009,-0.197,0.111
164974,-0.044,0.03,0.008,-0.084,0.015
164975,-0.036,0.032,0.011,-0.047,0.037
164976,-0.036,0.027,0.006,-0.235,0.117
164977,-0.038,0.012,0.003,-0.195,0.047
164978,-0.04,0.012,0.009,-0.05,0.009
164979,-0.041,0.027,0.008,-0.242,0.122
164980,-0.044,0.038,0.005,-0.223,0.146
164981,-0.047,0.045,0.005,-0.157,0.048
164982,-0.051,0.049,0.012,-0.019,0.007
164983,-0.047,0.054,0.008,-0.233,0.135
164984,-0.038,0.059,0.005,-0.103,0.029
164985,-0.048,0.059,0.011,-0.172,0.102
164986,-0.056,0.054,0.004,-0.168,0.053
164987,-0.05,0.048,0.007,-0.067,-0.006
164988,-0.025,0.043,0.009,-0.203,0.113
164989,-0.017,0.026,0.004,-0.225,0.067
164990,-0.013,0.014,0.004,-0.123,0.007
164991,-0.015,0.018,0.012,-0.036,0.026
164992,-0.017,0.024,0.012,-0.111,0.037
164993,-0.013,0.024,0.005,-0.248,0.108
164994,-0.015,0.03,0.004,-0.159,0.03
164995,-0.021,0.035,0.008,-0.141,0.077
164996,-0.025,0.051,0.008,-0.089,0.028
164997,-0.033,0.049,0.009,-0.129,0.049
164998,-0.029,0.045,0.007,-0.181,0.067
164999,-0.025,0.051,0.01,-0.078,0.033
165000,-0.027,0.037,0.011,-0.137,0.072
165001,-0.021,0.027,0.005,-0.197,0.074
165002,-0.011,0.03,0.011,-0.091,0.006
165003,-0.007,0.031,0.01,-0.171,0.1
165004,-0.008,0.041,0.005,-0.12,0.03
165005,-0.009,0.046,0.008,-0.175,0.088
165006,-0.017,0.04,0.01,-0.067,0.029
165007,-0.016,0.036,0.006,-0.267,0.135
165008,-0.025,0.033,0.006,-0.112,0.022
165009,-0.028,0.028,0.01,-0.177,0.096
165010,-0.034,0.026,0.008,-0.23,0.116
165011,-0.026,0.008,0.008,-0.079,0.016
165012,-0.035,0.002,0.01,-0.136,0.098
165013,-0.041,-0.0,0.004,-0.274,0.103
165014,-0.035,-0.006,0.01,-0.084,0.038
165015,-0.033,-0.001,0.009,-0.221,0.1
165016,-0.032,0.013,0.004,-0.231,0.108
165017,-0.03,0.02,0.003,-0.195,0.055
165018,-0.032,0.018,0.004,-0.118,0.012
165019,-0.031,0.02,0.01,-0.15,0.089
165020,-0.036,0.033,0.005,-0.253,0.103
165021,-0.033,0.053,0.01,-0.057,0.025
165022,-0.032,0.055,0.005,-0.237,0.096
165023,-0.032,0.043,0.011,-0.044,0.017
165024,-0.035,0.033,0.007,-0.239,0.119
165025,-0.043,0.029,0.009,-0.041,0.006
