Time,Channel_1,Channel_3,Channel_5,Channel_7,Channel_9
165334,-0.032,0.014,0.01,-0.048,0.009
165335,-0.028,0.013,0.008,-0.232,0.129
165336,-0.03,0.009,0.009,-0.09,0.028
165337,-0.042,0.007,0.012,-0.155,0.104
165338,-0.048,0.003,0.004,-0.265,0.108
165339,-0.044,0.014,0.009,-0.063,0.012
165340,-0.041,0.043,0.011,-0.184,0.103
165341,-0.041,0.037,0.005,-0.16,0.05
165342,-0.042,0.023,0.01,-0.002,-0.014
165343,-0.033,0.011,0.01,-0.178,0.113
165344,-0.027,0.006,0.005,-0.132,0.033
165345,-0.03,0.012,0.004,-0.107,0.017
165346,-0.033,0.014,0.011,-0.158,0.098
165347,-0.037,0.005,0.005,-0.143,0.043
165348,-0.045,0.012,0.011,-0.123,0.081
165349,-0.067,0.014,0.004,-0.197,0.07
165350,-0.072,0.018,0.004,-0.145,0.021
165351,-0.069,0.007,0.011,-0.034,0.005
165352,-0.05,0.012,0.012,-0.138,0.107
165353,-0.036,0.017,0.004,-0.217,0.082
165354,-0.039,0.02,0.006,-0.056,0.042
165355,-0.059,0.023,0.012,-0.155,0.108
165356,-0.078,0.016,0.004,-0.226,0.093
165357,-0.072,0.015,0.003,-0.172,0.039
165358,-0.052,0.021,0.01,-0.137,0.079
165359,-0.028,0.016,0.005,-0.134,0.033
165360,-0.019,0.019,0.006,-0.067,-0.01
165361,-0.013,0.029,0.01,-0.168,0.105
165362,-0.021,0.036,0.007,-0.268,0.133
165363,-0.028,0.035,0.005,-0.264,0.127
165364,-0.041,0.028,0.006,-0.081,0.011
165365,-0.034,0.022,0.014,-0.017,0.008
165366,-0.022,0.025,0.009,-0.231,0.133
165367,-0.029,0.024,0.006,-0.105,0.027
165368,-0.036,0.016,0.009,-0.212,0.113
165369,-0.039,0.013,0.006,-0.095,0.017
165370,-0.037,0.014,0.009,-0.041,0.012
165371,-0.034,0.017,0.012,-0.047,0.049
165372,-0.03,0.019,0.006,-0.194,0.089
165373,-0.029,0.016,0.005,-0.079,-0.007
165374,-0.033,0.006,0.012,-0.062,0.038
165375,-0.025,0.018,0.005,-0.28,0.13
165376,-0.024,0.025,0.004,-0.241,0.131
165377,-0.03,0.023,0.009,-0.052,0.021
165378,-0.039,0.026,0.006,-0.23,0.103
165379,-0.038,0.023,0.01,-0.039,0.011
165380,-0.038,0.018,0.01,-0.043,0.024
165381,-0.038,0.017,0.006,-0.232,0.113
165382,-0.037,0.024,0.009,-0.053,0.014
165383,-0.031,0.026,0.007,-0.22,0.121
165384,-0.026,0.024,0.004,-0.257,0.103
165385,-0.027,0.03,0.008,-0.045,-0.011
165386,-0.027,0.027,0.011,-0.135,0.084
165387,-0.031,0.028,0.006,-0.156,0.05
165388,-0.034,0.028,0.007,-0.135,0.04
165389,-0.034,0.03,0.011,-0.111,0.056
165390,-0.035,0.02,0.008,-0.17,0.059
165391,-0.021,0.012,0.006,-0.166,0.079
165392,-0.01,0.009,0.009,-0.141,0.066
165393,0.012,0.006,0.011,-0.189,0.113
165394,0.019,0.007,0.012,-0.152,0.107
165395,0.007,0.001,0.005,-0.258,0.125
165396,-0.004,0.004,0.01,-0.06,0.021
165397,-0.016,0.015,0.008,-0.247,0.131
165398,-0.018,0.022,0.005,-0.267,0.116
165399,-0.014,0.023,0.008,-0.061,0.002
165400,-0.015,0.022,0.009,-0.055,0.021
165401,-0.021,0.024,0.009,-0.209,0.112
165402,-0.02,0.031,0.006,-0.091,0.002
165403,-0.013,0.038,0.012,-0.071,0.058
165404,-0.02,0.044,0.004,-0.232,0.093
165405,-0.027,0.047,0.006,-0.203,0.062
165406,-0.027,0.047,0.012,-0.088,0.061
165407,-0.027,0.036,0.012,-0.139,0.105
165408,-0.033,0.032,0.004,-0.203,0.076
165409,-0.035,0.031,0.011,-0.058,0.039
165410,-0.027,0.039,0.01,-0.224,0.144
165411,-0.027,0.041,0.004,-0.211,0.082
165412,-0.023,0.035,0.01,-0.04,0.018
165413,-0.026,0.027,0.011,-0.194,0.12
165414,-0.029,0.028,0.004,-0.231,0.094
165415,-0.027,0.031,0.011,-0.017,0.001
165416,-0.03,0.034,0.007,-0.212,0.106
165417,-0.038,0.043,0.01,-0.055,0.008
165418,-0.049,0.048,0.008,-0.233,0.133
165419,-0.064,0.051,0.002,-0.227,0.059
165420,-0.068,0.057,0.003,-0.175,0.11
165421,-0.052,0.057,0.005,-0.247,0.098
165422,-0.048,0.052,0.01,-0.049,0.018
165423,-0.033,0.045,0.008,-0.235,0.126
165424,-0.024,0.032,0.004,-0.257,0.104
165425,-0.034,0.031,0.009,-0.042,0.01
165426,-0.035,0.035,0.01,-0.182,0.118
165427,-0.037,0.04,0.003,-0.202,0.076
165428,-0.037,0.043,0.01,-0.04,0.012
165429,-0.039,0.037,0.007,-0.255,0.131
165430,-0.036,0.032,0.005,-0.246,0.095
165431,-0.026,0.031,0.004,-0.122,0.014
165432,-0.023,0.023,0.013,-0.098,0.06
165433,-0.027,0.016,0.006,-0.26,0.119
165434,-0.028,0.009,0.01,-0.049,0.027
165435,-0.028,0.019,0.011,-0.155,0.102
165436,-0.029,0.037,0.004,-0.175,0.05
165437,-0.044,0.059,0.012,-0.073,0.041
165438,-0.054,0.072,0.004,-0.212,0.08
165439,-0.047,0.07,0.011,-0.089,0.046
165440,-0.048,0.05,0.01,-0.044,0.029
165441,-0.044,0.037,0.012,-0.065,0.048
165442,-0.034,0.033,0.006,-0.239,0.115
165443,-0.035,0.034,0.009,-0.075,0.029
165444,-0.053,0.037,0.005,-0.266,0.125
165445,-0.045,0.032,0.004,-0.124,0.021
165446,-0.033,0.028,0.005,-0.082,-0.009
165447,-0.025,0.016,0.012,-0.13,0.079
165448,-0.031,0.007,0.008,-0.19,0.118
165449,-0.033,0.007,0.008,-0.077,0.024
165450,-0.036,0.019,0.007,-0.047,-0.003
165451,-0.058,0.023,0.011,-0.164,0.101
165452,-0.057,0.024,0.006,-0.128,0.035
165453,-0.047,0.031,0.01,-0.185,0.105
165454,-0.04,0.032,0.005,-0.208,0.067
165455,-0.035,0.029,0.011,-0.105,0.084
165456,-0.036,0.027,0.006,-0.136,0.026
165457,-0.044,0.027,0.006,-0.235,0.098
165458,-0.044,0.038,0.008,-0.157,0.08
165459,-0.046,0.045,0.005,-0.085,0.007
165460,-0.037,0.042,0.009,-0.143,0.025
165461,-0.034,0.036,0.012,-0.115,0.066
165462,-0.031,0.027,0.004,-0.238,0.096
165463,-0.04,0.034,0.01,-0.022,-0.007
165464,-0.046,0.026,0.01,-0.026,0.02
165465,-0.041,0.024,0.012,-0.092,0.074
165466,0.002,0.034,0.011,-0.178,0.123
165467,0.0,0.022,0.003,-0.22,0.073
165468,-0.008,0.019,0.01,-0.063,0.031
165469,-0.007,0.016,0.005,-0.25,0.106
165470,-0.009,0.017,0.005,-0.265,0.122
165471,-0.012,0.008,0.009,-0.04,0.004
165472,-0.019,0.011,0.01,-0.188,0.111
165473,-0.02,0.014,0.005,-0.1,0.013
165474,-0.025,0.013,0.011,-0.115,0.064
165475,-0.02,0.011,0.004,-0.189,0.062
165476,-0.011,0.015,0.012,-0.069,0.041
165477,-0.01,0.024,0.005,-0.21,0.083
165478,-0.025,0.031,0.012,-0.051,0.029
165479,-0.021,0.039,0.013,-0.124,0.099
165480,-0.025,0.039,0.011,-0.083,0.057
165481,-0.025,0.032,0.012,-0.069,0.051
165482,-0.035,0.026,0.011,-0.165,0.063
165483,-0.033,0.027,0.004,-0.227,0.087
165484,-0.032,0.033,0.009,-0.033,-0.001
165485,-0.025,0.034,0.007,-0.209,0.105
165486,-0.017,0.034,0.003,-0.219,0.076
165487,-0.017,0.034,0.01,-0.028,-0.007
165488,-0.02,0.031,0.008,-0.233,0.128
165489,-0.022,0.033,0.006,-0.108,0.013
165490,-0.026,0.038,0.004,-0.173,0.034
165491,-0.029,0.036,0.005,-0.076,-0.015
165492,-0.034,0.039,0.012,-0.057,0.042
165493,-0.036,0.033,0.005,-0.261,0.114
165494,-0.036,0.032,0.003,-0.215,0.11
165495,-0.029,0.033,0.004,-0.222,0.078
165496,-0.022,0.035,0.011,-0.034,0.012
165497,-0.02,0.026,0.007,-0.237,0.126
165498,-0.017,0.015,0.008,-0.091,0.023
165499,-0.019,0.016,0.009,-0.221,0.128
165500,-0.02,0.027,0.011,-0.185,0.111
165501,-0.018,0.03,0.009,-0.227,0.133
165502,-0.024,0.029,0.004,-0.178,0.052
165503,-0.027,0.026,0.007,-0.024,-0.014
165504,-0.028,0.038,0.012,-0.085,0.066
165505,-0.033,0.055,0.005,-0.271,0.128
165506,-0.043,0.061,0.004,-0.155,0.032
165507,-0.05,0.049,0.012,-0.043,0.03
165508,-0.049,0.027,0.011,-0.151,0.108
165509,-0.051,0.008,0.006,-0.274,0.136
165510,-0.054,0.01,0.006,-0.253,0.122
165511,-0.048,0.022,0.008,-0.07,0.003
165512,-0.043,0.029,0.012,-0.06,0.056
165513,-0.038,0.045,0.005,-0.223,0.1
165514,-0.042,0.057,0.004,-0.243,0.076
165515,-0.04,0.06,0.003,-0.141,0.025
165516,-0.032,0.042,0.012,-0.017,-0.001
165517,-0.023,0.022,0.009,-0.214,0.123
165518,-0.022,0.011,0.005,-0.114,0.026
165519,-0.013,0.011,0.008,-0.131,0.065
165520,-0.009,0.012,0.009,-0.172,0.049
165521,-0.005,0.011,0.009,-0.108,0.057
165522,-0.006,0.01,0.008,-0.149,0.082
165523,-0.012,0.015,0.008,-0.155,0.073
165524,-0.015,0.019,0.011,-0.103,0.063
165525,-0.01,0.005,0.005,-0.212,0.089
165526,-0.019,-0.008,0.012,-0.017,-0.0
165527,-0.04,-0.006,0.012,-0.079,0.069
165528,-0.052,-0.004,0.006,-0.245,0.11
165529,-0.055,0.009,0.011,-0.095,0.067
165530,-0.046,0.018,0.004,-0.252,0.113
165531,-0.047,0.013,0.009,-0.037,0.004
165532,-0.044,0.019,0.007,-0.211,0.098
165533,-0.044,0.023,0.004,-0.189,0.051
165534,-0.047,0.023,0.006,-0.098,0.01
165535,-0.049,0.026,0.007,-0.202,0.107
165536,-0.05,0.026,0.009,-0.086,0.039
165537,-0.047,0.022,0.006,-0.191,0.082
165538,-0.05,0.021,0.01,-0.135,0.077
165539,-0.045,0.016,0.004,-0.159,0.046
165540,-0.037,0.011,0.005,-0.065,-0.004
165541,-0.033,0.005,0.012,-0.119,0.072
165542,-0.042,0.001,0.005,-0.173,0.055
165543,-0.046,0.009,0.011,-0.175,0.099
165544,-0.046,0.002,0.004,-0.168,0.051
165545,-0.042,0.002,0.011,-0.135,0.091
165546,-0.049,0.003,0.006,-0.231,0.117
165547,-0.058,0.003,0.009,-0.073,0.03
165548,-0.061,0.001,0.006,-0.215,0.099
165549,-0.053,-0.006,0.005,-0.114,0.009
165550,-0.044,-0.008,0.004,-0.132,0.036
165551,-0.033,-0.006,0.011,-0.057,0.044
165552,-0.033,-0.001,0.006,-0.137,0.046
165553,-0.028,0.016,0.01,-0.138,0.086
165554,-0.03,0.027,0.008,-0.082,0.023
165555,-0.037,0.023,0.011,-0.202,0.127
165556,-0.036,0.019,0.006,-0.104,0.029
165557,-0.037,0.028,0.009,-0.22,0.116
165558,-0.034,0.036,0.009,-0.048,0.004
165559,-0.03,0.043,0.007,-0.234,0.115
165560,-0.022,0.039,0.006,-0.264,0.119
165561,-0.023,0.034,0.009,-0.042,0.004
165562,-0.019,0.034,0.01,-0.046,0.035
165563,-0.025,0.03,0.005,-0.172,0.07
165564,-0.036,0.029,0.009,-0.043,-0.006
165565,-0.037,0.023,0.006,-0.206,0.099
165566,-0.041,0.026,0.01,-0.099,0.052
165567,-0.059,0.019,0.006,-0.147,0.046
165568,-0.058,0.02,0.011,-0.163,0.107
165569,-0.054,0.017,0.008,-0.108,0.038
165570,-0.05,0.017,0.012,-0.118,0.092
165571,-0.04,0.017,0.006,-0.125,0.039
165572,-0.038,0.01,0.01,-0.186,0.099
165573,-0.042,0.011,0.008,-0.076,0.027
165574,-0.039,0.015,0.012,-0.09,0.024
165575,-0.035,0.012,0.014,-0.064,0.052
165576,-0.041,0.01,0.006,-0.186,0.072
165577,-0.068,0.009,0.003,-0.177,0.048
165578,-0.086,0.01,0.01,-0.129,0.072
165579,-0.089,0.005,0.007,-0.091,0.017
165580,-0.068,-0.001,0.01,-0.029,0.01
165581,-0.062,0.001,0.01,-0.224,0.132
165582,-0.051,0.007,0.008,-0.1,0.037
165583,-0.041,0.007,0.006,-0.224,0.112
165584,-0.036,0.009,0.006,-0.057,-0.002
165585,-0.035,0.008,0.009,-0.244,0.074
165586,-0.035,0.0,0.006,-0.173,0.09
165587,-0.028,-0.002,0.009,-0.138,0.066
165588,-0.017,0.017,0.009,-0.102,0.075
165589,-0.01,0.034,0.008,-0.116,0.053
165590,-0.015,0.04,0.01,-0.199,0.113
165591,-0.015,0.039,0.007,-0.127,0.038
165592,-0.013,0.036,0.01,-0.017,0.004
165593,-0.008,0.035,0.006,-0.208,0.084
165594,-0.008,0.043,0.011,-0.048,0.027
165595,-0.015,0.041,0.005,-0.212,0.092
165596,-0.018,0.037,0.011,-0.076,0.038
165597,-0.015,0.043,0.004,-0.223,0.088
165598,-0.021,0.056,0.012,-0.036,0.018
165599,-0.026,0.074,0.01,-0.185,0.122
165600,-0.031,0.078,0.007,-0.261,0.135
165601,-0.03,0.069,0.006,-0.09,0.015
165602,-0.028,0.05,0.008,-0.034,-0.019
165603,-0.028,0.037,0.009,-0.015,-0.006
165604,-0.028,0.031,0.012,-0.141,0.053
165605,-0.034,0.028,0.004,-0.236,0.1
165606,-0.04,0.021,0.011,-0.098,0.062
165607,-0.032,0.013,0.005,-0.164,0.062
165608,-0.025,0.011,0.01,-0.179,0.094
165609,-0.025,-0.006,0.007,-0.093,0.024
165610,-0.022,-0.032,0.007,-0.062,0.007
165611,-0.033,-0.042,0.01,-0.015,0.009
165612,-0.026,-0.044,0.012,-0.103,0.083
165613,-0.017,-0.041,0.004,-0.262,0.128
165614,-0.011,-0.026,0.009,-0.067,0.019
165615,-0.009,-0.002,0.006,-0.249,0.117
165616,-0.019,0.037,0.009,-0.042,0.013
165617,-0.024,0.043,0.012,-0.183,0.076
165618,-0.015,0.034,0.01,-0.145,0.106
165619,-0.009,0.026,0.005,-0.199,0.078
165620,-0.008,0.025,0.005,-0.099,0.007
165621,-0.007,0.031,0.01,-0.171,0.108
165622,-0.02,0.039,0.006,-0.096,0.018
165623,-0.02,0.056,0.008,-0.029,-0.008
165624,-0.024,0.063,0.007,-0.203,0.099
165625,-0.03,0.058,0.004,-0.152,0.019
165626,-0.038,0.061,0.011,-0.126,0.082
165627,-0.042,0.05,0.004,-0.169,0.037
165628,-0.028,0.04,0.011,-0.112,0.067
165629,-0.023,0.04,0.005,-0.129,0.031
165630,-0.023,0.038,0.009,-0.156,0.033
165631,-0.028,0.038,0.013,-0.084,0.056
165632,-0.034,0.032,0.005,-0.246,0.117
165633,-0.036,0.024,0.006,-0.074,0.009
165634,-0.033,0.024,0.011,-0.167,0.102
165635,-0.033,0.025,0.006,-0.105,0.023
165636,-0.033,0.032,0.011,-0.13,0.086
165637,-0.034,0.029,0.004,-0.188,0.069
165638,-0.033,0.033,0.008,-0.045,-0.013
165639,-0.051,0.032,0.007,-0.219,0.106
165640,-0.083,0.033,0.003,-0.18,0.029
165641,-0.099,0.036,0.01,-0.033,0.007
165642,-0.085,0.038,0.006,-0.253,0.12
165643,-0.063,0.035,0.01,-0.039,0.026
165644,-0.049,0.028,0.005,-0.211,0.081
165645,-0.041,0.036,0.011,-0.14,0.082
165646,-0.037,0.057,0.006,-0.117,0.028
165647,-0.038,0.059,0.013,-0.117,0.078
165648,-0.041,0.056,0.004,-0.168,0.056
165649,-0.027,0.049,0.011,-0.129,0.076
165650,-0.021,0.037,0.009,-0.143,0.085
165651,-0.024,0.038,0.009,-0.137,0.087
165652,-0.021,0.042,0.008,-0.111,0.062
165653,-0.018,0.041,0.007,-0.091,0.019
165654,-0.013,0.036,0.005,-0.225,0.064
165655,-0.016,0.028,0.005,-0.158,0.074
165656,-0.021,0.024,0.007,-0.175,0.048
165657,-0.023,0.015,0.01,-0.156,0.088
165658,-0.033,0.011,0.009,-0.084,0.023
165659,-0.038,0.009,0.005,-0.196,0.086
165660,-0.026,0.007,0.005,-0.134,0.028
165661,-0.029,0.003,0.01,-0.148,0.093
165662,-0.029,-0.001,0.008,-0.084,0.018
165663,-0.037,-0.002,0.008,-0.222,0.119
165664,-0.04,-0.009,0.01,-0.075,0.023
165665,-0.033,-0.014,0.007,-0.168,0.075
165666,-0.025,0.007,0.01,-0.136,0.088
165667,-0.025,0.008,0.009,-0.073,0.011
165668,-0.023,0.001,0.012,-0.085,0.069
165669,-0.021,0.002,0.011,-0.169,0.061
165670,-0.026,0.016,0.012,-0.074,0.065
165671,-0.02,0.021,0.006,-0.222,0.099
165672,-0.026,0.029,0.011,-0.076,0.049
165673,-0.027,0.028,0.005,-0.2,0.074
165674,-0.022,0.028,0.005,-0.092,0.007
165675,-0.024,0.039,0.011,-0.155,0.095
165676,-0.021,0.044,0.006,-0.124,0.038
165677,-0.021,0.053,0.007,-0.2,0.101
165678,-0.023,0.042,0.003,-0.123,-0.002
165679,-0.028,0.031,0.009,-0.17,0.095
165680,-0.039,0.026,0.007,-0.069,0.02
165681,-0.048,0.03,0.012,-0.119,0.038
165682,-0.053,0.026,0.012,-0.124,0.087
165683,-0.046,0.011,0.008,-0.234,0.127
165684,-0.034,0.003,0.007,-0.092,0.022
165685,-0.033,0.013,0.008,-0.22,0.118
165686,-0.045,0.021,0.009,-0.06,0.01
165687,-0.038,0.023,0.008,-0.201,0.103
165688,-0.027,0.016,0.005,-0.086,-0.008
165689,-0.032,0.011,0.011,-0.038,0.032
165690,-0.029,0.008,0.011,-0.122,0.028
165691,-0.032,0.005,0.011,-0.111,0.088
165692,-0.028,0.013,0.01,-0.198,0.129
165693,-0.028,0.022,0.007,-0.125,0.028
165694,-0.031,0.029,0.011,-0.172,0.107
165695,-0.031,0.023,0.007,-0.124,0.038
165696,-0.032,0.012,0.007,-0.19,0.093
165697,-0.02,0.009,0.011,-0.07,0.043
165698,-0.014,0.012,0.005,-0.205,0.083
165699,-0.019,0.01,0.007,-0.052,-0.017
165700,-0.029,0.016,0.011,-0.051,0.038
165701,-0.032,0.027,0.005,-0.208,0.081
165702,-0.026,0.03,0.01,-0.155,0.087
165703,-0.024,0.026,0.005,-0.258,0.113
165704,-0.028,0.024,0.012,-0.057,0.028
165705,-0.032,0.015,0.006,-0.203,0.089
165706,-0.036,0.005,0.011,-0.071,0.033
165707,-0.028,-0.017,0.004,-0.233,0.106
165708,-0.029,-0.011,0.005,-0.086,-0.008
165709,-0.028,0.001,0.007,-0.059,-0.014
165710,-0.035,0.017,0.009,-0.039,0.012
165711,-0.037,0.021,0.007,-0.191,0.091
165712,-0.043,0.019,0.009,-0.098,0.053
165713,-0.04,0.008,0.005,-0.15,0.04
165714,-0.042,0.003,0.01,-0.175,0.105
165715,-0.035,0.004,0.007,-0.107,0.044
165716,-0.037,0.011,0.009,-0.128,0.064
165717,-0.037,0.011,0.009,-0.139,0.072
165718,-0.041,0.013,0.007,-0.175,0.079
165719,-0.048,0.007,0.009,-0.11,0.069
165720,-0.043,0.011,0.007,-0.116,0.023
165721,-0.032,0.018,0.012,-0.032,0.035
165722,-0.029,0.024,0.006,-0.214,0.09
165723,-0.029,0.039,0.011,-0.09,0.058
165724,-0.027,0.045,0.004,-0.208,0.071
165725,-0.034,0.034,0.01,-0.114,0.074
165726,-0.04,0.031,0.004,-0.174,0.055
165727,-0.047,0.039,0.013,-0.058,-0.003
165728,-0.045,0.04,0.009,-0.198,0.104
165729,-0.036,0.025,0.003,-0.192,0.058
165730,-0.033,0.019,0.005,-0.067,-0.005
165731,-0.029,0.018,0.01,-0.056,0.038
165732,-0.027,0.02,0.008,-0.22,0.136
165733,-0.026,0.015,0.005,-0.16,0.045
165734,-0.027,0.013,0.01,-0.164,0.103
165735,-0.024,0.024,0.003,-0.207,0.102
165736,-0.022,0.035,0.01,-0.105,0.013
165737,-0.015,0.047,0.01,-0.165,0.101
165738,-0.006,0.048,0.007,-0.091,0.018
165739,-0.012,0.045,0.008,-0.208,0.109
165740,-0.008,0.023,0.006,-0.249,0.117
165741,-0.002,0.02,0.007,-0.077,0.005
165742,-0.008,0.026,0.008,-0.04,-0.003
165743,-0.017,0.027,0.012,-0.092,0.069
165744,-0.022,0.035,0.008,-0.253,0.102
165745,-0.019,0.046,0.005,-0.253,0.126
165746,-0.023,0.048,0.004,-0.25,0.099
165747,-0.028,0.052,0.005,-0.127,0.006
165748,-0.04,0.049,0.009,-0.034,-0.012
165749,-0.037,0.049,0.01,-0.172,0.096
165750,-0.033,0.049,0.005,-0.259,0.124
165751,-0.027,0.043,0.007,-0.074,0.012
165752,-0.027,0.04,0.007,-0.201,0.096
165753,-0.026,0.032,0.011,-0.094,0.048
165754,-0.023,0.033,0.004,-0.229,0.099
165755,-0.029,0.033,0.011,-0.094,0.054
165756,-0.031,0.043,0.007,-0.125,0.043
165757,-0.032,0.044,0.008,-0.211,0.114
165758,-0.027,0.043,0.004,-0.204,0.081
165759,-0.028,0.051,0.011,-0.069,0.044
165760,-0.033,0.051,0.011,-0.121,0.093
165761,-0.027,0.053,0.007,-0.268,0.138
165762,-0.03,0.048,0.008,-0.048,-0.003
165763,-0.019,0.045,0.007,-0.213,0.112
165764,-0.019,0.043,0.01,-0.073,0.034
165765,-0.017,0.041,0.007,-0.143,0.041
165766,-0.017,0.037,0.01,-0.194,0.12
165767,-0.01,0.037,0.006,-0.252,0.129
165768,-0.014,0.043,0.005,-0.225,0.091
165769,-0.029,0.052,0.011,-0.072,0.04
165770,-0.034,0.059,0.012,-0.135,0.103
165771,-0.034,0.057,0.007,-0.145,0.05
165772,-0.033,0.045,0.01,-0.027,0.013
165773,-0.031,0.041,0.007,-0.22,0.119
165774,-0.02,0.041,0.008,-0.046,0.01
165775,-0.018,0.051,0.007,-0.249,0.116
165776,-0.022,0.046,0.008,-0.035,-0.007
165777,-0.027,0.038,0.008,-0.237,0.126
165778,-0.032,0.029,0.004,-0.228,0.133
165779,-0.038,0.02,0.009,-0.073,0.025
165780,-0.035,0.028,0.012,-0.101,0.067
165781,-0.024,0.032,0.008,-0.169,0.079
165782,-0.028,0.037,0.008,-0.125,0.07
165783,-0.029,0.046,0.007,-0.207,0.092
165784,-0.029,0.055,0.01,-0.121,0.088
165785,-0.035,0.054,0.007,-0.07,0.016
165786,-0.041,0.049,0.01,-0.142,0.039
165787,-0.046,0.045,0.009,-0.137,0.096
165788,-0.045,0.038,0.006,-0.216,0.09
165789,-0.049,0.036,0.012,-0.09,0.053
165790,-0.048,0.031,0.006,-0.233,0.119
165791,-0.049,0.034,0.01,-0.11,0.055
165792,-0.046,0.019,0.006,-0.155,0.052
165793,-0.049,0.011,0.008,-0.167,0.085
165794,-0.047,0.005,0.005,-0.113,-0.005
165795,-0.045,0.014,0.007,-0.195,0.096
165796,-0.042,0.02,0.008,-0.053,0.017
165797,-0.038,0.026,0.006,-0.252,0.121
165798,-0.036,0.028,0.004,-0.109,0.069
165799,-0.037,0.033,0.011,-0.145,0.081
165800,-0.029,0.024,0.007,-0.19,0.115
165801,-0.027,0.022,0.009,-0.077,0.027
165802,-0.041,0.02,0.007,-0.21,0.097
165803,-0.05,0.02,0.011,-0.056,0.025
165804,-0.043,0.019,0.006,-0.224,0.104
165805,-0.027,0.023,0.01,-0.08,0.038
165806,-0.024,0.027,0.006,-0.203,0.089
165807,-0.037,0.03,0.01,-0.132,0.073
165808,-0.04,0.036,0.007,-0.119,0.035
165809,-0.037,0.036,0.009,-0.18,0.096
165810,-0.03,0.027,0.009,-0.046,-0.001
165811,-0.027,0.021,0.011,-0.076,0.051
165812,-0.024,0.018,0.004,-0.232,0.099
165813,-0.033,0.022,0.003,-0.114,0.069
165814,-0.041,0.028,0.01,-0.129,0.073
165815,-0.044,0.029,0.006,-0.111,0.035
165816,-0.056,0.033,0.014,-0.09,0.048
165817,-0.047,0.037,0.009,-0.226,0.135
165818,-0.04,0.041,0.008,-0.084,0.017
165819,-0.033,0.044,0.008,-0.203,0.101
165820,-0.033,0.032,0.003,-0.193,0.052
165821,-0.04,0.019,0.004,-0.094,-0.008
165822,-0.038,0.003,0.011,-0.058,0.022
165823,-0.037,-0.006,0.009,-0.245,0.107
165824,-0.029,-0.009,0.006,-0.107,0.037
165825,-0.035,-0.002,0.006,-0.199,0.083
165826,-0.047,0.007,0.012,-0.12,0.072
165827,-0.043,0.019,0.004,-0.226,0.103
165828,-0.037,0.022,0.003,-0.219,0.065
165829,-0.032,0.018,0.01,-0.087,0.045
165830,-0.026,0.019,0.011,-0.16,0.098
165831,-0.017,0.02,0.005,-0.221,0.096
165832,-0.004,0.02,0.01,-0.102,0.061
165833,-0.008,0.023,0.004,-0.192,0.073
165834,-0.012,0.024,0.007,-0.036,0.035
165835,-0.025,0.037,0.009,-0.18,0.105
165836,-0.037,0.04,0.008,-0.066,0.02
165837,-0.035,0.034,0.012,-0.121,0.076
165838,-0.037,0.012,0.005,-0.145,0.043
165839,-0.032,0.007,0.01,-0.158,0.092
165840,-0.021,0.014,0.008,-0.216,0.123
165841,-0.024,0.027,0.007,-0.074,0.004
165842,-0.034,0.03,0.009,-0.168,0.099
165843,-0.046,0.018,0.002,-0.211,0.051
165844,-0.055,0.008,0.01,-0.032,0.005
165845,-0.048,-0.006,0.005,-0.214,0.099
165846,-0.04,-0.011,0.011,-0.044,0.027
165847,-0.039,-0.001,0.006,-0.233,0.082
165848,-0.035,0.008,0.011,-0.109,0.045
165849,-0.032,0.022,0.006,-0.15,0.11
165850,-0.03,0.029,0.006,-0.138,0.048
165851,-0.039,0.037,0.008,-0.17,0.066
165852,-0.041,0.027,0.007,-0.131,0.04
165853,-0.041,0.013,0.008,-0.033,-0.015
165854,-0.043,0.015,0.009,-0.194,0.104
165855,-0.047,0.01,0.005,-0.125,0.026
165856,-0.047,0.015,0.01,-0.013,0.003
165857,-0.041,0.024,0.014,-0.035,0.015
165858,-0.033,0.012,0.008,-0.227,0.133
165859,-0.025,0.0,0.005,-0.105,0.027
165860,-0.034,-0.008,0.006,-0.096,0.01
165861,-0.043,-0.011,0.012,-0.108,0.076
165862,-0.054,-0.025,0.006,-0.147,0.048
165863,-0.048,-0.029,0.011,-0.161,0.103
165864,-0.038,-0.023,0.007,-0.124,0.038
165865,-0.053,-0.018,0.011,-0.024,0.021
165866,-0.04,-0.013,0.01,-0.012,0.009
165867,-0.032,-0.007,0.008,-0.209,0.116
165868,-0.024,0.002,0.009,-0.063,0.019
165869,-0.023,0.017,0.013,-0.094,0.064
165870,-0.018,0.024,0.006,-0.218,0.098
165871,-0.014,0.037,0.005,-0.136,0.024
165872,-0.017,0.04,0.011,-0.165,0.103
165873,-0.024,0.037,0.008,-0.252,0.137
165874,-0.022,0.025,0.006,-0.111,0.022
165875,-0.026,0.027,0.009,-0.214,0.116
165876,-0.023,0.029,0.006,-0.089,0.011
165877,-0.022,0.033,0.01,-0.183,0.11
165878,-0.031,0.036,0.003,-0.263,0.096
165879,-0.032,0.033,0.009,-0.038,-0.001
165880,-0.032,0.039,0.013,-0.049,0.009
165881,-0.026,0.055,0.011,-0.035,0.019
165882,-0.016,0.067,0.006,-0.22,0.104
165883,-0.013,0.061,0.01,-0.058,0.021
165884,-0.022,0.051,0.007,-0.225,0.111
165885,-0.029,0.044,0.01,-0.035,0.0
165886,-0.029,0.044,0.006,-0.198,0.089
165887,-0.038,0.045,0.011,-0.051,0.022
165888,-0.048,0.045,0.006,-0.255,0.129
165889,-0.049,0.047,0.003,-0.174,0.025
