Spike_Number,Time_seconds,Voltage_Drop_mV,Peak_Voltage_mV
194,166511,-0.182,-0.25
195,166521,-0.181,-0.257
196,166523,-0.191,-0.26
197,166525,-0.15000000000000002,-0.222
198,166528,-0.175,-0.224
199,166538,-0.161,-0.192
200,166542,-0.19399999999999998,-0.235
201,166550,-0.17200000000000001,-0.234
202,166555,-0.21000000000000002,-0.254
203,166567,-0.15100000000000002,-0.227
204,166585,-0.181,-0.221
205,166587,-0.169,-0.232
206,166590,-0.215,-0.236
207,166594,-0.178,-0.206
208,166601,-0.194,-0.215
209,166617,-0.17200000000000001,-0.225
210,166620,-0.191,-0.249
211,166626,-0.20600000000000002,-0.25
212,166656,-0.186,-0.228
213,166663,-0.212,-0.251
214,166665,-0.21300000000000002,-0.257
215,166674,-0.155,-0.243
216,166677,-0.158,-0.2
217,166683,-0.167,-0.23
218,166685,-0.19999999999999998,-0.213
219,166693,-0.169,-0.233
220,166702,-0.187,-0.229
221,166704,-0.176,-0.219
222,166710,-0.17800000000000002,-0.232
223,166712,-0.187,-0.272
224,166720,-0.158,-0.193
225,166728,-0.191,-0.226
226,166736,-0.182,-0.216
227,166741,-0.20900000000000002,-0.231
228,166745,-0.164,-0.251
229,166747,-0.16,-0.19
230,166754,-0.221,-0.243
231,166771,-0.20800000000000002,-0.227
232,166776,-0.155,-0.219
233,166778,-0.195,-0.217
234,166787,-0.204,-0.24
235,166793,-0.16999999999999998,-0.245
236,166798,-0.207,-0.237
237,166807,-0.192,-0.231
238,166818,-0.191,-0.216
239,166822,-0.20299999999999999,-0.243
240,166827,-0.17900000000000002,-0.268
241,166841,-0.208,-0.238
242,166850,-0.182,-0.247
243,166856,-0.181,-0.204
244,166867,-0.177,-0.241
245,166873,-0.175,-0.25
246,166882,-0.201,-0.255
247,166900,-0.16,-0.216
248,166923,-0.20099999999999998,-0.24
249,166942,-0.15699999999999997,-0.205
250,166951,-0.164,-0.219
251,166957,-0.213,-0.252
252,166973,-0.17,-0.221
253,166983,-0.17200000000000001,-0.227
254,166985,-0.169,-0.202
255,167000,-0.209,-0.237
256,167015,-0.195,-0.267
257,167034,-0.21800000000000003,-0.274
258,167037,-0.15500000000000003,-0.199
259,167056,-0.181,-0.222
260,167058,-0.188,-0.21
261,167061,-0.192,-0.222
262,167072,-0.15200000000000002,-0.203
263,167116,-0.163,-0.22
264,167140,-0.169,-0.225
265,167151,-0.15899999999999997,-0.206
266,167168,-0.195,-0.265
267,167192,-0.201,-0.225
268,167194,-0.172,-0.249
269,167218,-0.183,-0.232
270,167236,-0.15400000000000003,-0.202
271,167242,-0.187,-0.233
272,167267,-0.17500000000000002,-0.227
273,167269,-0.189,-0.257
274,167271,-0.185,-0.232
275,167284,-0.17099999999999999,-0.286
276,167297,-0.158,-0.194
277,167300,-0.17300000000000001,-0.227
278,167303,-0.22800000000000004,-0.279
279,167316,-0.174,-0.237
280,167319,-0.176,-0.241
281,167322,-0.17,-0.221
282,167324,-0.16,-0.228
283,167326,-0.16000000000000003,-0.231
284,167334,-0.171,-0.225
285,167347,-0.218,-0.251
286,167360,-0.16899999999999998,-0.254
287,167365,-0.176,-0.239
288,167368,-0.218,-0.256
289,167376,-0.19,-0.231
290,167378,-0.16,-0.198
291,167383,-0.172,-0.21
292,167390,-0.162,-0.2
293,167397,-0.158,-0.213
294,167408,-0.15200000000000002,-0.198
295,167430,-0.185,-0.229
296,167433,-0.17900000000000002,-0.268
297,167445,-0.16799999999999998,-0.237
298,167453,-0.176,-0.193
299,167458,-0.185,-0.219
300,167465,-0.17200000000000001,-0.198
301,167480,-0.165,-0.23
302,167482,-0.16,-0.22
303,167484,-0.17099999999999999,-0.216
304,167490,-0.16999999999999998,-0.218
305,167505,-0.186,-0.225
306,167510,-0.155,-0.225
307,167530,-0.177,-0.21
308,167543,-0.19,-0.231
309,167545,-0.157,-0.211
310,167554,-0.169,-0.195
311,167573,-0.15400000000000003,-0.231
312,167588,-0.151,-0.242
313,167596,-0.15500000000000003,-0.264
314,167601,-0.153,-0.221
315,167624,-0.158,-0.214
316,167638,-0.177,-0.224
317,167659,-0.159,-0.189
318,167676,-0.162,-0.193
319,167686,-0.161,-0.218
320,167688,-0.177,-0.22
321,167700,-0.15300000000000002,-0.199
322,167725,-0.166,-0.234
323,167744,-0.165,-0.229
324,167752,-0.155,-0.253
325,167755,-0.16799999999999998,-0.218
326,167760,-0.188,-0.231
327,167762,-0.16299999999999998,-0.204
328,167776,-0.174,-0.214
329,167778,-0.202,-0.231
330,167790,-0.15499999999999997,-0.24
331,167793,-0.217,-0.235
332,167796,-0.157,-0.219
333,167800,-0.201,-0.247
334,167824,-0.22,-0.257
335,167833,-0.158,-0.184
336,167842,-0.201,-0.228
337,167851,-0.15400000000000003,-0.198
338,167860,-0.158,-0.22
339,167878,-0.163,-0.229
340,167887,-0.16799999999999998,-0.252
341,167892,-0.16899999999999998,-0.177
342,167900,-0.16,-0.212
343,167906,-0.18100000000000002,-0.277
344,167911,-0.175,-0.249
345,167933,-0.173,-0.237
346,167935,-0.19,-0.237
347,167940,-0.20099999999999998,-0.243
348,167946,-0.19,-0.224
349,167955,-0.195,-0.219
350,167977,-0.15200000000000002,-0.23
351,167984,-0.22,-0.256
352,167987,-0.16899999999999998,-0.204
353,167992,-0.17500000000000002,-0.202
354,167995,-0.153,-0.209
355,168026,-0.20600000000000002,-0.223
356,168028,-0.17300000000000001,-0.225
357,168036,-0.197,-0.258
358,168041,-0.16399999999999998,-0.239
359,168046,-0.189,-0.223
360,168053,-0.17200000000000001,-0.198
361,168061,-0.21800000000000003,-0.261
362,168081,-0.19999999999999998,-0.236
363,168097,-0.17400000000000002,-0.231
364,168115,-0.17900000000000002,-0.232
365,168118,-0.185,-0.206
366,168122,-0.157,-0.253
367,168126,-0.169,-0.199
368,168130,-0.16499999999999998,-0.25
369,168135,-0.164,-0.19
370,168150,-0.172,-0.235
371,168153,-0.152,-0.161
372,168165,-0.185,-0.214
373,168168,-0.20600000000000002,-0.258
374,168172,-0.206,-0.236
375,168176,-0.201,-0.247
376,168178,-0.151,-0.22
377,168182,-0.153,-0.214
378,168186,-0.193,-0.256
379,168188,-0.173,-0.216
380,168195,-0.177,-0.206
381,168198,-0.162,-0.262
382,168202,-0.191,-0.23
383,168217,-0.207,-0.239
384,168221,-0.186,-0.221
385,168224,-0.194,-0.232
386,168226,-0.154,-0.223
387,168232,-0.16299999999999998,-0.174
388,168235,-0.197,-0.247
389,168238,-0.196,-0.269
390,168245,-0.188,-0.202
391,168252,-0.15800000000000003,-0.27
392,168263,-0.183,-0.209
393,168288,-0.161,-0.194
394,168301,-0.20400000000000001,-0.263
395,168306,-0.151,-0.205
